,Smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,BDE
0,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,11.55930081204052,-0.4841932914726692,11.55930081204052,0.48419329147266876,0.33778281406944094,394.5160000000003,360.24400000000014,394.258005568,158,0,0.4328479362436191,-0.3195889860221585,0.4328479362436191,0.3195889860221585,0.6428571428571429,1.0357142857142858,1.4285714285714286,16.680802417906023,9.988876758601277,2.0945754839943613,-2.109141343122113,2.1516397968066148,-2.2485312027431883,5.852477255489432,0.14819484490812163,1.3852382266982872,484.3237759890967,19.865750262862548,16.841128851840132,16.841128851840132,13.737183443017884,10.750178891657436,10.750178891657436,7.461606157360328,7.461606157360328,5.018964357893349,5.018964357893349,3.36337008696114,3.36337008696114,-2.1199999999999997,2198164.3509655707,22.172082979024943,13.959902835129853,10.275273966837805,167.01006989130028,10.633577208012662,0.0,0.0,0.0,0.0,12.18648014187683,9.675177167473267,9.589074368143644,0.0,0.0,35.99471194520512,64.20821622926012,13.08951281182515,11.423370005541404,19.26425153561691,23.609850147418236,0.0,10.633577208012662,10.31142545350108,89.89150272096417,13.08951281182515,0.0,0.0,0.0,10.633577208012662,9.589074368143644,0.0,0.0,36.69936295924338,9.675177167473267,0.0,89.89150272096417,10.31142545350108,0.0,0.0,0.0,101.38000000000001,12.18648014187683,9.589074368143644,0.0,0.0,13.08951281182515,88.47322948065353,12.841643245852019,0.0,0.0,20.94500266151374,9.675177167473267,0.0,0.0,32.8898206818862,13.267488303791069,1.9677062959397027,0.0,0.0,13.409412347331761,1.1322390377179337,0.0,0.8,28,2,8,2,0,2,0,0,0,6,2,8,9,2,0,2,2,4.639400000000005,108.47540000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,41.420052570079655
1,CC(C)=NOC(=O)Nc1ccccc1,11.076485260770975,-0.5857407407407405,11.076485260770975,0.5857407407407405,0.44456539296961073,192.21800000000002,180.12199999999999,192.089877624,74,0,0.43733020952230567,-0.29786882371062073,0.43733020952230567,0.29786882371062073,1.2857142857142858,1.9285714285714286,2.5,16.676995310040965,10.310722273793049,2.0029660334200425,-2.0095258080402427,2.0456586930703504,-2.105227532821943,5.853894944370671,0.16607848278041928,2.4613484648252095,329.23505186595935,10.38890505706126,8.150461522375814,8.150461522375814,6.6815405503520555,4.225112876571857,4.225112876571857,2.9082706636847178,2.9082706636847178,1.3313177866395918,1.3313177866395918,0.7949018552725551,0.7949018552725551,-1.8399999999999994,1392.8648335543667,10.242236842105264,5.012486407084328,3.7092512583454584,82.5654620755802,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,0.0,23.354813932135368,25.980208536304467,5.687386274683562,5.711685002770702,9.632125767808455,17.49231134839268,0.0,0.0,5.15571272675054,13.847474399381248,5.316788604006331,30.33183534230805,0.0,0.0,5.316788604006331,10.481923458755384,0.0,0.0,11.804925073709118,4.8375885837366335,0.0,13.847474399381248,35.48754806905859,0.0,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,11.399071277454265,0.0,0.0,25.980208536304467,18.19910120538483,15.310089914493503,0.0,0.0,0.0,15.62177343159486,6.054311696900983,1.3700627781976993,0.0,9.047931836314772,-0.5857407407407405,3.4916609977324264,0.0,0.2,14,1,4,0,0,0,1,0,1,3,1,4,2,0,0,0,1,2.6309000000000013,55.328700000000026,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.731548469978726
2,CC(C)=NOC(=O)Nc1ccc(Cl)cc1,11.1284268707483,-0.6263681027966743,11.1284268707483,0.6049593726379445,0.47800309616543557,226.663,215.575,226.050905272,80,0,0.4373302220053616,-0.2978688236766725,0.4373302220053616,0.2978688236766725,1.3333333333333333,1.9333333333333333,2.466666666666667,35.495691093082215,10.305749337724128,2.0138429077282574,-2.018296016438098,2.12859737327316,-2.1058869663011492,6.3018049903903135,0.1660780744426836,2.5147544124810675,369.5137076538769,11.259148545064338,8.451075726195414,9.20700467221387,7.075387400469408,4.32477871559943,4.702743188608657,3.0491382847310833,3.4855740652030676,1.4017503887537788,1.6537267040932637,0.8066376157290723,0.9326257733988148,-1.5499999999999994,2001.464545343753,11.524349442379183,5.360304513099238,4.464893145376476,92.86872830246186,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,0.0,16.756652616983054,38.112942673227685,10.710019588424888,5.711685002770702,9.632125767808455,29.093251238625193,0.0,0.0,5.15571272675054,13.847474399381248,5.316788604006331,29.288101587587764,0.0,0.0,5.316788604006331,10.481923458755384,0.0,11.600939890232516,11.804925073709118,4.8375885837366335,0.0,13.847474399381248,29.421181000596977,5.022633313741326,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,16.421704591195592,0.0,0.0,38.112942673227685,0.0,15.310089914493503,11.600939890232516,0.0,5.685130385415227,15.670969151549508,6.622105834103188,1.2727891156462592,0.0,6.689718127991938,-0.6263681027966743,3.463433265868331,0.0,0.2,15,1,4,0,0,0,1,0,1,3,1,5,2,0,0,0,1,3.2843000000000018,60.338700000000024,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.41114179997507
3,CC(C)=NOC(=O)Nc1cc(Cl)ccc1Cl,11.238281683043589,-0.7172530864197528,11.238281683043589,0.3736574074074077,0.49766461807812934,261.108,251.028,260.01193292,86,0,0.43738046145815945,-0.29786822845154476,0.43738046145815945,0.29786822845154476,1.375,2.0625,2.6875,35.4967871319474,10.298690152031263,2.0662401291130656,-2.049002769554905,2.248694936697368,-2.1118282892559357,6.351796764095802,0.16607894887772962,2.6929503257393814,428.82724796837505,12.129392033067417,8.751689930015017,10.263547822051926,7.486071002992367,4.43042761877071,5.186356564789165,3.1664134826961994,4.01004938990879,1.4762673257005217,2.0409526495283052,0.85880939211154,1.19570652658443,-1.2599999999999993,2918.6496886476516,12.807842605156038,5.723099441677983,4.08214209262123,103.17199452934352,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,0.0,28.35759250721557,32.046575604766076,5.022633313741326,16.421704591195592,9.632125767808455,40.69419112885771,0.0,0.0,5.15571272675054,13.847474399381248,5.316788604006331,28.244367832867482,0.0,0.0,5.316788604006331,10.481923458755384,0.0,23.20187978046503,11.804925073709118,4.8375885837366335,0.0,13.847474399381248,23.354813932135368,10.045266627482652,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,21.44433790493692,0.0,6.06636706846161,25.980208536304467,0.0,15.310089914493503,23.20187978046503,0.0,11.587738830099939,15.776715482489292,6.7642010477030325,1.0096887160213885,0.0,4.718504871084236,-0.7172530864197528,3.4159596945774195,0.0,0.2,16,1,4,0,0,0,1,0,1,3,1,6,2,0,0,0,1,3.937700000000002,65.34870000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4879489599673
4,CC(C)=NOC(=O)Nc1cccc(Cl)c1,11.144701436130006,-0.6403086419753083,11.144701436130006,0.5444197740824728,0.47800309616543557,226.663,215.575,226.050905272,80,0,0.43733101723093404,-0.2978688191459316,0.43733101723093404,0.2978688191459316,1.4666666666666666,2.2,2.8,35.49569109831859,10.305334776284512,2.0194980604999544,-2.0215176232070093,2.143440751924919,-2.1064730436136174,6.30434085710726,0.16607930153397885,2.551373552466546,386.76370765387696,11.259148545064338,8.451075726195414,9.20700467221387,7.075387400469408,4.32477871559943,4.7027431886086575,3.0525926084250323,3.4890283888970166,1.3821462327932756,1.617243335581014,0.8396510418872883,1.0299388900264885,-1.5499999999999994,1926.6341093173976,11.524349442379183,5.360304513099238,4.464893145376476,92.86872830246185,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,0.0,22.823019685444663,32.046575604766076,10.710019588424888,5.711685002770702,9.632125767808455,29.093251238625193,0.0,0.0,5.15571272675054,13.847474399381248,5.316788604006331,29.288101587587768,0.0,0.0,5.316788604006331,10.481923458755384,0.0,11.600939890232516,11.804925073709118,4.8375885837366335,0.0,13.847474399381248,29.421181000596977,5.022633313741326,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,16.421704591195592,0.0,0.0,38.112942673227685,0.0,15.310089914493503,11.600939890232516,0.0,5.736146769407351,15.686777210884353,6.544561969849669,1.2293520443156691,0.0,6.763579197110943,-0.6403086419753083,3.457669228185101,0.0,0.2,15,1,4,0,0,0,1,0,1,3,1,5,2,0,0,0,1,3.2843000000000018,60.338700000000024,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.63641788990568
5,CC(C)=NOC(=O)Nc1cccc(C)c1,11.187785336356765,-0.5816666666666663,11.187785336356765,0.5816666666666663,0.45918378978958796,206.245,192.13299999999998,206.105527688,80,0,0.43733036432598443,-0.2978688228267336,0.43733036432598443,0.2978688228267336,1.4,2.1333333333333333,2.7333333333333334,16.676997823588433,10.20375619283109,2.014861886037172,-2.0277229191419517,2.090636972585126,-2.107844071363279,5.855556655953263,0.16607836676147344,2.551373552466546,381.9292407977403,11.259148545064338,9.073111253186187,9.073111253186187,7.075387400469408,4.635796479094816,4.635796479094816,3.411724987378666,3.411724987378666,1.5756019153634793,1.5756019153634793,0.9962342796646625,0.9962342796646625,-1.8399999999999994,1926.6341093173976,11.235987841945288,5.143128759352535,4.262716242576383,88.9304041899768,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,0.0,17.28844686367376,38.46739722769208,5.687386274683562,5.711685002770702,9.632125767808455,17.49231134839268,0.0,0.0,5.15571272675054,20.771211599071872,5.316788604006331,29.828919765543436,0.0,0.0,5.316788604006331,10.481923458755384,0.0,0.0,11.804925073709118,4.8375885837366335,6.923737199690624,19.410925891078243,29.421181000596977,0.0,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,11.399071277454265,5.563451491696996,0.0,19.913841467842857,25.122838405075456,15.310089914493503,0.0,0.0,0.0,15.772945011337868,6.117572751322751,2.4595571407575383,0.0,7.449103888468967,-0.5816666666666663,5.449154541446208,0.0,0.2727272727272727,15,1,4,0,0,0,1,0,1,3,1,4,2,0,0,0,1,2.9393200000000013,60.06570000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.49183965001322
6,CNC(=O)ON=C(c1ccccc1)c1ccccc1,11.13847190728143,-0.5931831065759623,11.13847190728143,0.5931831065759623,0.5199223840959519,254.28900000000004,240.17699999999996,254.105527688,96,0,0.4326077827731709,-0.3226578926533058,0.4326077827731709,0.3226578926533058,0.9473684210526315,1.4210526315789473,1.8421052631578947,16.67695462566557,10.028587878790768,2.078234338839708,-2.058221979842244,2.106357504024785,-2.176354583210167,6.122406138259961,0.15302286853554697,2.3700824493691814,523.7141500697085,13.501789232183626,10.537212868323946,10.537212868323946,9.308861750289882,5.885796479094816,5.885796479094816,3.8006892697191783,3.8006892697191783,2.518418291731237,2.518418291731237,1.5968622582370213,1.5968622582370213,-2.6199999999999988,28502.656254330028,12.827056985199185,6.349710764031145,3.4185645133174525,111.25761416724762,5.316788604006331,5.711685002770702,0.0,0.0,0.0,6.093240070938415,4.8375885837366335,4.794537184071822,0.0,0.0,65.81938341136664,0.0,18.17457496607118,0.0,9.632125767808455,11.804925073709118,0.0,5.316788604006331,5.15571272675054,0.0,7.04767198267719,71.7905736680101,0.0,0.0,5.316788604006331,4.794537184071822,0.0,0.0,18.85259705638631,4.8375885837366335,0.0,11.126902983393991,65.81938341136664,0.0,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,5.711685002770702,11.126902983393991,7.04767198267719,0.0,60.6636706846161,10.47250133075687,4.8375885837366335,0.0,0.0,15.93853898966994,6.294597190728143,2.38889455782313,0.0,19.14916729654825,-0.5931831065759623,0.0,1.488651738473167,0.06666666666666667,19,1,4,0,0,0,2,0,2,3,1,4,3,0,0,0,2,2.795000000000001,74.06370000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.98016806004882
7,CC(C)=NOC(=O)Nc1ccc(F)cc1,12.51220226057212,-0.7057331821617534,12.51220226057212,0.3644992441421009,0.46323402010540254,210.208,199.11999999999998,210.080455812,80,0,0.43733023441250607,-0.29786882364287054,0.43733023441250607,0.29786882364287054,1.3333333333333333,1.9333333333333333,2.466666666666667,19.142141137529737,10.295580316553597,2.0167216702403503,-2.0154971782178785,2.0781637449221013,-2.1069415060215366,5.854085881600677,0.1660721108717625,2.5147544124810675,369.5137076538769,11.259148545064338,8.451075726195414,8.451075726195414,7.075387400469408,4.32477871559943,4.32477871559943,3.0491382847310833,3.0491382847310833,1.4017503887537788,1.4017503887537788,0.8066376157290723,0.8066376157290723,-1.9099999999999997,2001.464545343753,11.166394194041253,5.091025445777885,4.214290875997755,86.73099747850644,0.0,5.817220841045895,0.0,0.0,0.0,6.093240070938415,10.154377187742964,9.184952231746642,0.0,0.0,5.15571272675054,38.112942673227685,5.687386274683562,5.711685002770702,14.022540815483275,17.49231134839268,0.0,0.0,5.15571272675054,13.847474399381248,5.316788604006331,30.082689114892332,0.0,0.0,5.316788604006331,14.872338506430204,0.0,0.0,11.804925073709118,4.8375885837366335,5.817220841045895,13.847474399381248,29.421181000596977,0.0,0.0,0.0,50.69,6.093240070938415,9.184952231746642,0.0,5.817220841045895,11.399071277454265,0.0,24.26546827384644,13.847474399381248,0.0,15.310089914493503,0.0,12.51220226057212,0.0,15.549441373771732,5.858347190728143,1.0783446712018148,-0.3644992441421009,5.339409486016629,-0.7057331821617534,3.399154110680085,0.0,0.2,15,1,4,0,0,0,1,0,1,3,1,5,2,0,0,0,1,2.7700000000000005,55.28670000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86395308007248
8,CC(C)(C)C1CCC(=NOC(=O)c2ccc([N+](=O)[O-])cc2)CC1,11.892911785084404,-0.5922751716427308,11.892911785084404,0.06169781165778199,0.47123722855227346,318.3730000000001,296.19700000000006,318.157957184,124,0,0.3652238032187106,-0.3128727197976994,0.3652238032187106,0.3128727197976994,1.2173913043478262,1.7826086956521738,2.260869565217391,16.666734466561913,9.719080442087039,2.279133961019051,-2.334987608054617,2.3640576564004614,-2.256420000046703,5.9079801734816275,-0.3844411726681121,1.9028045169248484,604.4756923744219,17.035169427003233,13.742598823549692,13.742598823549692,10.769875513468989,7.786830145223993,7.786830145223993,6.980542337876922,6.980542337876922,4.358983439170915,4.358983439170915,2.7862744105846704,2.7862744105846704,-2.2399999999999998,108836.65859090122,17.11919928633218,6.894322913031618,4.6123457749055445,135.217339261719,4.8375885837366335,0.0,0.0,0.0,5.687386274683562,5.969305287951849,10.114318268765572,4.794537184071822,0.0,0.0,25.926924325822412,49.14891714418543,12.13273413692322,16.19844754328537,14.555436816626127,17.368376565406113,0.0,0.0,16.488609242308712,46.454498090775914,0.0,39.94323803430901,0.0,0.0,0.0,5.687386274683562,0.0,0.0,16.60430133954022,4.8375885837366335,21.447214784323744,56.81248676654472,29.421181000596977,0.0,0.0,0.0,81.8,10.892616336769521,14.908855452837393,0.0,11.250837766380558,11.332896515558172,31.39497149447474,24.26546827384644,0.0,0.0,25.926924325822412,4.8375885837366335,0.0,0.0,26.92875769428224,14.545596204221432,1.3874875469344028,0.06682116292410512,5.296489244815364,3.7914556311760492,6.733392515646408,0.0,0.5294117647058824,23,0,6,1,0,1,1,0,1,5,0,6,3,1,0,1,2,4.343900000000004,87.35990000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.71247222991208
9,CC(C)(C)C1CCC(=NOC(=O)c2cccc([N+](=O)[O-])c2)CC1,11.933833931720837,-0.6674584671831687,11.933833931720837,0.1314143466028388,0.47123722855227346,318.3730000000001,296.19700000000006,318.157957184,124,0,0.3654725006737713,-0.312867915340197,0.3654725006737713,0.312867915340197,1.3043478260869565,1.9565217391304348,2.5217391304347827,16.666847182585606,9.719080476586363,2.2795175546738173,-2.3349841303980163,2.364140576804764,-2.25644041629629,5.911661115210543,-0.38445938812931296,1.9448312462616208,621.7256923744218,17.035169427003233,13.742598823549692,13.742598823549692,10.769875513468989,7.786830145223993,7.786830145223993,6.9839966615708695,6.9839966615708695,4.337833012673083,4.337833012673083,2.8134912253144218,2.8134912253144218,-2.2399999999999998,108297.4481007505,17.11919928633218,6.894322913031618,4.6123457749055445,135.217339261719,4.8375885837366335,0.0,0.0,0.0,5.687386274683562,5.969305287951849,10.114318268765572,4.794537184071822,0.0,0.0,31.99329139428402,43.082550075723816,12.13273413692322,16.19844754328537,14.555436816626127,17.368376565406113,0.0,0.0,16.488609242308712,46.454498090775914,0.0,39.943238034309005,0.0,0.0,0.0,5.687386274683562,0.0,0.0,16.60430133954022,4.8375885837366335,21.447214784323744,56.81248676654472,29.421181000596977,0.0,0.0,0.0,81.8,10.892616336769521,14.908855452837393,0.0,16.665828235777337,5.917906046161393,31.39497149447474,24.26546827384644,0.0,0.0,25.926924325822412,4.8375885837366335,0.0,0.0,27.056770008081372,14.666331936502877,1.15235845341155,-0.020306192182769855,5.456251692264498,3.7239021927513987,6.714691909171076,0.0,0.5294117647058824,23,0,6,1,0,1,1,0,1,5,0,6,3,1,0,1,2,4.343900000000004,87.35990000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25162895003338
