,Smiles
55,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4
56,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4
57,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C
58,CCC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(cccc3)C2(CCCC)CCCC
59,CC(=O)O/N=C(/CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3
60,CCC(=O)O/N=C(/CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3
61,c1cccc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(CCC)=N\OC(=O)CC
62,CCC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cccc3
63,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)Sc2ccccc2
64,CC(=O)O/N=C(\CC)c(cc1)cc(c12)c3c4c2cccc4ccc3
65,c1ccc2cccc3c(c4c1c23)ccc(c4)/C(=N\OC(=O)C)CCCCCCC
66,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)c3c4c2cccc4ccc3
67,c1ccc(c2c13)c4c(c2ccc3)cc(cc4)/C(CCCCCCC)=N/OC(=O)CCCCCC
68,CC(=O)O/N=C(\C)C(=O)c(ccc1)c(c12)cccc2
69,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(Br)cc3
70,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)C(=O)c4ccccc4
71,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CCCC)CCCC)cc(cc3)-c4onc(c4)C
72,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c([C@H]2CC)cccc3
73,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(C)C)cc(cc3)C(=O)/C(C)=N/OC(=O)C
74,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(C)C)cc(cc3)C(=O)/C(C)=N/OC(=O)C
75,c1ccccc1C(=O)c(cc2)cc(c23)C(CCCC)(CCCC)c4c3ccc(c4)/C(C)=N/OC(=O)C
76,c1cccc(c12)ccc(c2)C(=O)c(cc3)cc(c34)C(CCCC)(CCCC)c5c4ccc(c5)/C(C)=N/OC(=O)C
