,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
281,O=C(/C=C/c1ccccc1)ON=C1CCCCCCCCCCC1,[O]C(=O)/C=C/c1ccccc1,[N]=C1CCCCCCCCCCC1,[C]=Cc1ccccc1,41.73569009999614
282,CC(=O)O/N=C1/c2ccccc2COc2ccccc21,CC([O])=O,[N]=C1c2ccccc2COc2ccccc21,[C],39.6962826000087
283,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)O/N=C\c1cccnc1,[O]C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,[N]=Cc1cccnc1,[NH]c1ccc([N+](=O)[O-])cc1Cl,42.510664950037025
284,O=C(/C=C/c1ccccc1)O/N=C/c1ccc(Cl)cc1,[O]C(=O)/C=C/c1ccccc1,[N]=Cc1ccc(Cl)cc1,[C]=Cc1ccccc1,45.437999099851524
285,CC(=O)N[C@H]1/C(=N/OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,[O]C(=O)Nc1ccccc1,CC(=O)N[C@H]1C(=[N])O[C@H](CO)[C@@H](O)[C@@H]1O,[NH]c1ccccc1,47.789906580048736
287,CN(C)c1ccc(/C=N/OC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,[O]C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CN(C)c1ccc(C=[N])cc1,O=[N+]([O-])c1c[c]cc([N+](=O)[O-])c1,48.97903802997139
288,C#CCOC(=O)O/N=c1/sc2ccccc2n1CCSC(=O)OCC#C,C#CCOC([O])=O,C#CCOC(=O)SCCn1c(=[N])sc2ccccc21,C#CC[O],40.09851650999191
289,[2H]C([2H])([2H])C(OC(=O)O/N=C(\C#N)c1ccccc1)(C([2H])([2H])[2H])C([2H])([2H])[2H],[2H]C([2H])([2H])C(OC([O])=O)(C([2H])([2H])[2H])C([2H])([2H])[2H],[N]=C(C#N)c1ccccc1,[2H]C([2H])([2H])C([O])(C([2H])([2H])[2H])C([2H])([2H])[2H],44.43021803997038
291,CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(=O)O/N=C(/C#N)c1ccccc1,CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC([O])=O,[N]=C(C#N)c1ccccc1,CC(C)([O])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,41.6572513500515
292,CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(=O)O/N=C(/C#N)c1ccccc1,CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC([O])=O,[N]=C(C#N)c1ccccc1,CC(C)([O])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,39.50363703006704
293,CCC(=O)O/N=C1\CCN(S(=O)(=O)c2ccc(C)cc2)c2cc(OC)ccc2C1=O,CCC([O])=O,COc1ccc2c(c1)N(S(=O)(=O)c1ccc(C)cc1)CCC(=[N])C2=O,[C]C,42.85830548987271
295,CC(C)=NOC(=O)CNC(=O)OCc1ccccc1,[O]C(=O)CNC(=O)OCc1ccccc1,CC(C)=[N],[C]NC(=O)OCc1ccccc1,46.0448012699603
296,[2H][13C]([2H])([2H])N[13C](=O)O/N=C/C(C)(C)S(C)=O,[2H][13C]([2H])([2H])N[13C]([O])=O,CS(=O)C(C)(C)C=[N],[2H][13C]([2H])([2H])[NH],43.93260261001396
297,[2H][13C]([2H])([2H])N[13C](=O)O/N=C/C(C)(C)SC,[2H][13C]([2H])([2H])N[13C]([O])=O,CSC(C)(C)C=[N],[2H][13C]([2H])([2H])[NH],42.30735170997963
298,[2H][13C]([2H])([2H])N[13C](=O)O/N=C/C(C)(C)S(C)(=O)=O,[2H][13C]([2H])([2H])N[13C]([O])=O,CC(C)(C=[N])S(C)(=O)=O,[2H][13C]([2H])([2H])[NH],42.718370759869316
