,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
194,c1cc(OC)ccc1-n(c(c23)ccc(c2)OC)c4c3cc(cc4)C(=O)/C(C)=N\OC(=O)C,CC([O])=O,COc1ccc(-n2c3ccc(OC)cc3c3cc(C(=O)C(C)=[N])ccc32)cc1,[C],40.29931971005565
195,CC(=O)O/N=C(\C)C(=O)c(cc1)cc(c12)c3c(ccc(c3)OC)n2-c4ccc(cc4)SC,CC([O])=O,COc1ccc2c(c1)c1cc(C(=O)C(C)=[N])ccc1n2-c1ccc(SC)cc1,[C],41.60014793998165
196,CC(=O)O/N=C(\C)C(=O)c(cc1)cc(c12)c3c(n2CC)cccc3,CC([O])=O,CCn1c2ccccc2c2cc(C(=O)C(C)=[N])ccc21,[C],42.035639880023574
197,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4,CC([O])=O,CCCCC1(CCCC)c2cc(C(=O)C(C)=[N])ccc2-c2ccc(C(=O)/C(=N\OC(C)=O)c3ccccc3)cc21,[C],42.763551480040604
198,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4,CC([O])=O,CCCCC1(CCCC)c2cc(C(=O)C(=[N])c3ccccc3)ccc2-c2ccc(C(=O)/C(C)=N/OC(C)=O)cc21,[C],42.388928010059026
199,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCCCC1(CCCC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],43.13503740010145
200,CCC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(cccc3)C2(CCCC)CCCC,CCC([O])=O,CCCCC1(CCCC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C]C,39.543797670108326
201,CC(=O)O/N=C(/CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1ccccc1-2,[C],39.295931219949395
202,CCC(=O)O/N=C(/CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CCC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1ccccc1-2,[C]C,40.09224141000775
203,c1cccc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(CCC)=N\OC(=O)CC,CCC([O])=O,CCCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1ccccc1-2,[C]C,41.22364194007616
204,CCC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cccc3,CCC([O])=O,CCCC1(CCC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C]C,39.03425954996799
205,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)Sc2ccccc2,CC([O])=O,CC(=[N])C(=O)c1ccc(Sc2ccccc2)cc1,[C],41.96096618999809
206,CC(=O)O/N=C(\CC)c(cc1)cc(c12)c3c4c2cccc4ccc3,CC([O])=O,CCC(=[N])c1ccc2c(c1)-c1cccc3cccc-2c13,[C],43.5523315499753
207,c1ccc2cccc3c(c4c1c23)ccc(c4)/C(=N\OC(=O)C)CCCCCCC,CC([O])=O,CCCCCCCC(=[N])c1ccc2c(c1)-c1cccc3cccc-2c13,[C],40.44615705011296
208,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)c3c4c2cccc4ccc3,CC([O])=O,CCCCCCC(=[N])C(=O)c1ccc2c(c1)-c1cccc3cccc-2c13,[C],39.796684200111905
210,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(Br)cc3,CC([O])=O,CCC1(CC)c2cc(Br)ccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],43.43435967013047
212,CC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CCCC)CCCC)cc(cc3)-c4onc(c4)C,CC([O])=O,CCCCC1(CCCC)c2cc(C(=O)C(C)=[N])ccc2-c2ccc(-c3cc(C)no3)cc21,[C],41.96222120999492
213,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c([C@H]2CC)cccc3,CC([O])=O,CC[C@@H]1c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],40.195153050033284
214,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(C)C)cc(cc3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CC(=[N])C(=O)c1ccc2c(c1)C(C)(C)c1cc(C(=O)/C(C)=N/OC(C)=O)ccc1-2,[C],40.74610683006905
215,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(C)C)cc(cc3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CC(=[N])C(=O)c1ccc2c(c1)C(C)(C)c1cc(C(=O)/C(C)=N\OC(C)=O)ccc1-2,[C],43.22916390000648
216,c1ccccc1C(=O)c(cc2)cc(c23)C(CCCC)(CCCC)c4c3ccc(c4)/C(C)=N/OC(=O)C,CC([O])=O,CCCCC1(CCCC)c2cc(C(C)=[N])ccc2-c2ccc(C(=O)c3ccccc3)cc21,[C],44.3423666400495
217,c1cccc(c12)ccc(c2)C(=O)c(cc3)cc(c34)C(CCCC)(CCCC)c5c4ccc(c5)/C(C)=N/OC(=O)C,CC([O])=O,CCCCC1(CCCC)c2cc(C(C)=[N])ccc2-c2ccc(C(=O)c3ccc4ccccc4c3)cc21,[C],45.978912719912636
218,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)c4ccccc4,CC([O])=O,CCCCC1(CCCC)c2ccccc2-c2ccc(C(=O)C(=[N])c3ccccc3)cc21,[C],42.32492199007795
219,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)-c(ccc2)c(c23)cccc3,CC([O])=O,CC(=[N])C(=O)c1ccc(-c2cccc3ccccc23)cc1,[C],42.07140795000461
