,Smiles,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0n,Chi0v,Chi1n,Chi2v,Chi3n,Chi3v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticCarbocycles,MolLogP,fr_amide,fr_benzene,fr_ketone,fr_ketone_Topliss,BDE
235,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,-0.581356163,13.3813794,0.199223672,0.132140535,496.349,206,0.331486579,-0.318209381,0.331486579,0.318209381,0.666666667,1.051282051,1.358974359,16.66925784,9.727500775,2.41187385,-2.298132472,2.527314643,-2.246073844,6.461749943,-0.1414003,1251.342995,28.74191173,23.55065924,23.55065924,13.50581527,9.709887369,7.158527219,7.158527219,-3.94,322579610.6,29.61354293,12.73791244,6.051444262,9.675177167,11.42337001,9.589074368,9.589074368,75.11348577,60.0698266,30.38936785,0,28.8533259,34.92847047,0,85.48234341,58.65200838,0,0,34.92847047,24.67924201,111.9102333,46.70962786,111.46,17.35360105,19.17814874,22.9898599,36.81018948,13.8474744,12.13273414,38.11294267,24.15889985,0,58.89732772,7.650014993,5.000813571,-1.718787595,11.25253479,3.630438362,10.53765816,0,0.419354839,8,1,2,6.5769,0,2,2,2,45.87035349
236,CCC(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,-0.569475496,12.83317017,0.120450733,0.264295341,378.278,156,0.331486321,-0.31821999,0.331486321,0.31821999,0.866666667,1.4,1.9,16.66565951,9.728175338,2.40814519,-2.297677206,2.52663369,-2.238653236,6.44748375,-0.140433489,1060.813462,22.05167728,18.16562872,18.16562872,10.38072582,7.675359382,6.112569489,6.112569489,-3.08,4983521.724,21.62461941,8.344617038,3.489770411,4.837588584,5.711685003,9.589074368,4.794537184,50.1923926,54.15192055,29.88645228,0,19.22120014,23.24748018,0,59.29614134,58.65200838,0,0,23.24748018,15.04711624,85.7240312,41.55391514,72.8,5.969305288,14.38361155,22.69316536,11.98427311,13.8474744,6.066367068,37.25557254,23.84077571,0,40.73849461,3.630147107,5.55178281,-0.721328496,11.62978523,2.174051443,8.913733958,0,0.36,5,1,2,5.4875,0,2,2,2,44.18360661
237,c1ccccc1C(=N/OC(=O)C)\C(=O)c(cc2)cc(c23)C(CC)(CC)c4c3ccc(c4)C(=O)/C(=N/OC(=O)C)c5ccccc5,-0.62936019,13.86509468,0.021527211,0.083289863,568.415,226,0.331503779,-0.317856143,0.331503779,0.317856143,0.555555556,0.933333333,1.266666667,16.66930608,9.727242312,2.413682479,-2.298182272,2.527842188,-2.24831793,6.516730951,-0.141368781,1721.754918,32.13925295,25.4957348,25.4957348,14.70586213,10.74576382,8.147508041,8.147508041,-5.5,12078122392,30.94140573,13.01379124,5.994638422,9.675177167,0,9.589074368,9.589074368,109.0880388,47.22818335,41.51627084,0,28.8533259,34.92847047,0,45.95158251,130.442582,0,0,34.92847047,24.67924201,83.50637536,107.3732985,111.46,17.35360105,19.17814874,22.9898599,35.09544921,13.8474744,60.66367068,36.39820241,24.15889985,0,60.64029615,7.830864555,5.286207653,-2.022859568,28.81409786,1.41457597,6.620150715,0,0.189189189,8,1,4,7.0733,0,4,2,2,48.85667358
238,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C,-0.579160174,13.40139056,0.148573752,0.13505433,496.349,208,0.331486577,-0.318221908,0.331486577,0.318221908,0.897435897,1.487179487,2.025641026,16.66925529,9.669304846,2.453897032,-2.359203448,2.555354378,-2.311862312,6.455398681,-0.141482111,1277.743507,28.74191173,23.75776602,23.75776602,13.77360001,10.04661352,7.384933887,7.384933887,-3.68,311629048.7,29.86977719,12.91331491,6.15479029,9.675177167,11.42337001,9.589074368,9.589074368,80.70589638,54.8704827,30.74382241,0,28.8533259,40.501575,0,91.90316503,52.61460042,0,0,34.92847047,29.47377919,107.9730662,46.2356714,111.46,17.85651662,19.17814874,28.40485037,24.82591636,19.42057893,12.99010427,31.20851155,24.15889985,0,58.78736735,7.608554928,5.081997665,-1.97882899,5.741549373,8.775763055,10.40026328,0,0.483870968,8,2,1,6.2779,0,1,2,2,47.66816964
239,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C,-0.579160174,13.40139056,0.148573752,0.13505433,496.349,208,0.331486577,-0.318221908,0.331486577,0.318221908,0.897435897,1.487179487,2.025641026,16.66925529,9.669304846,2.453897032,-2.359203448,2.555354378,-2.311862312,6.455398681,-0.141482111,1277.743507,28.74191173,23.75776602,23.75776602,13.77360001,10.04661352,7.384933887,7.384933887,-3.68,311629048.7,29.86977719,12.91331491,6.15479029,9.675177167,11.42337001,9.589074368,9.589074368,80.70589638,54.8704827,30.74382241,0,28.8533259,40.501575,0,91.90316503,52.61460042,0,0,34.92847047,29.47377919,107.9730662,46.2356714,111.46,17.85651662,19.17814874,28.40485037,24.82591636,19.42057893,12.99010427,31.20851155,24.15889985,0,58.78736735,7.608554928,5.081997665,-1.97882899,5.741549373,8.775763055,10.40026328,0,0.483870968,8,2,1,6.2779,0,1,2,2,55.37524746
240,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,-0.57772133,13.52046119,0.20661822,0.103285572,520.371,218,0.331486579,-0.318209381,0.331486579,0.318209381,0.634146341,1.024390244,1.341463415,16.66926336,9.705637365,2.4241573,-2.320784017,2.53895024,-2.261599325,6.461770095,-0.1414003,1282.587149,30.15612529,24.9648728,24.9648728,14.50581527,10.50278059,7.304973829,7.304973829,-3.94,806925499,31.58583642,14.10403442,6.865274643,9.675177167,11.42337001,9.589074368,9.589074368,87.95512902,60.0698266,30.38936785,0,28.8533259,34.92847047,0,98.32398665,58.65200838,0,0,34.92847047,24.67924201,124.7518765,46.70962786,111.46,17.35360105,19.17814874,22.9898599,36.81018948,13.8474744,12.13273414,38.11294267,24.15889985,0,59.37731016,7.714706351,5.175938078,-1.691534936,11.42890667,5.60399231,10.64068137,0,0.454545455,8,1,2,7.3571,0,2,2,2,47.96121681
241,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(CCCCC)=N/OC(=O)CC,-0.486749538,12.81028836,0.023247192,0.134858819,372.251,152,0.334252693,-0.317903274,0.334252693,0.317903274,0.965517241,1.551724138,2.068965517,16.66664526,9.985525276,2.159141022,-2.068779259,2.228939113,-2.15803118,6.454671974,-0.38443151,886.4235721,21.22540387,16.5900047,16.5900047,9.621363342,6.522395027,4.384110766,4.384110766,-3.35,2649708.423,21.94455558,10.8482615,6.343229285,4.837588584,5.711685003,14.90885545,4.794537184,56.11029865,36.10128037,24.11700725,4.923311049,19.349974,23.15162151,0,45.95158251,64.20870631,5.687386275,0,22.38754629,9.632125768,56.30957119,53.68664927,98.87,10.89261634,19.70339264,23.60313785,11.98427311,12.13273414,43.32193961,0,12.07944993,0,39.34232514,14.56971097,2.331983434,-0.764290618,13.10703622,3.357661228,3.722240286,0,0.318181818,7,0,2,5.334,0,2,1,1,43.36784361
242,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,-0.543948286,12.69554485,0.08020958,0.33397462,326.246,134,0.331486321,-0.31821999,0.331486321,0.31821999,0.961538462,1.615384615,2.269230769,16.66564493,9.732835513,2.400758224,-2.293857676,2.521464305,-2.233733614,6.447414853,-0.140429738,907.3534214,18.89697675,15.62762391,15.62762391,8.955257904,6.683850467,5.376976422,5.376976422,-2.75,830066.3009,18.05345064,6.867283951,2.754,4.837588584,5.711685003,4.794537184,4.794537184,55.40138954,48.08555348,17.90217916,0,14.42666295,17.46423524,0,45.95158251,59.15492395,0,0,17.46423524,15.04711624,62.0214837,47.62028221,55.73,5.969305288,9.589074368,16.90992042,5.563451492,29.17754317,6.9237372,18.19910121,48.10624398,0,28.20540343,3.627238442,5.601417592,-0.774399911,14.30186191,1.927928991,7.193882879,0,0.318181818,4,1,2,4.8948,0,2,1,1,45.0363927
243,CCC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,-0.455985323,12.78387393,0.081407927,0.303381015,338.257,140,0.334252435,-0.317913884,0.334252435,0.317913884,0.962962963,1.62962963,2.296296296,16.66627697,9.732835428,2.400843624,-2.29386251,2.521503292,-2.23382986,6.447442654,-0.142731641,922.9707462,19.60408353,16.33473069,16.33473069,9.515918076,6.917830702,5.638914187,5.638914187,-2.75,1455358.018,19.02387755,7.471428861,3.094204167,4.837588584,5.711685003,4.794537184,4.794537184,62.32512674,48.08555348,17.39926358,0,14.42666295,17.46423524,0,52.37240414,59.15492395,0,0,17.46423524,15.04711624,68.44230533,47.62028221,55.73,5.969305288,9.589074368,23.33074204,5.563451492,22.25380597,13.8474744,18.19910121,43.2686554,0,28.81109363,3.698488442,5.624675253,-0.67935078,14.33652135,2.149084577,7.642820866,0,0.347826087,4,1,2,5.2849,0,2,1,1,40.78752249
244,CC(=O)O/N=C(/C)c(c1)ccc(c12)c3c(cc([N+]([O-])=O)cc3)C2(CCCC)CCCC,-0.45790456,11.5315601,0.135882202,0.199055684,392.285,164,0.331483519,-0.318337955,0.331483519,0.318337955,1,1.580645161,2.129032258,16.6657383,9.702368889,2.427514496,-2.324040982,2.546060238,-2.255477932,5.997597784,-0.384491995,1018.177215,22.59564736,18.73416266,18.73416266,11.00057253,8.296139051,6.197967011,6.197967011,-3.02,8027583.38,22.66044028,9.414771603,4.382517607,4.837588584,0,10.11431827,4.794537184,56.81920775,59.71537204,24.47146181,10.63499605,14.55543682,17.36837657,0,71.63486901,63.20287515,5.687386275,0,16.60430134,15.04711624,82.91023301,41.55391514,81.8,5.969305288,14.90885545,16.02568779,5.711685003,12.48718869,12.13273414,19.05647134,31.13592126,0,27.21588856,15.4872815,5.844338506,-0.45790456,11.44827976,6.064260159,7.481189419,0,0.44,6,1,2,6.5288,0,2,0,0,46.97602611
245,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C)CCCCCCCCCC,-0.590335704,13.26180703,0.156664249,0.056808819,578.456,236,0.331486577,-0.339642306,0.339642306,0.331486577,0.659090909,1.090909091,1.5,32.16658246,10.02417392,2.266767823,-2.331436161,2.486460644,-2.231658155,7.99387726,-0.14139749,1322.22011,32.06190269,26.44165503,27.25815161,15.51329136,11.78441314,7.243543463,8.337348575,-3.79,3539797214,34.69740964,17.49069321,9.606639963,14.5750869,11.42337001,9.589074368,9.589074368,87.79027336,55.66066728,41.31010074,11.37477255,28.8533259,58.06512797,0,108.6178692,47.52510539,11.37477255,11.76188495,41.47322688,19.26425154,119.5428796,56.50059482,114.7,11.93861058,19.17814874,22.9898599,23.96854623,64.13428909,25.98020854,24.26546827,22.13507238,0,62.52432026,7.528251442,3.165568933,-1.799617881,11.12054364,10.26248624,9.048921297,0,0.470588235,9,1,2,8.4536,0,2,2,2,49.34299383
246,CC(=O)O/N=C(\CC)c(c1)ccc(c12)N(CC)c3c(S2)cc(cc3)/C(CC)=N/OC(=O)C,-0.440699022,11.16544178,0.440699022,0.305508186,426.348,168,0.331483772,-0.33992268,0.33992268,0.331483772,0.8125,1.25,1.59375,32.16658162,10.05322985,2.238647492,-2.322148083,2.48320186,-2.20392541,7.993855613,-0.141401904,1011.147065,23.2503479,18.9683042,19.78480078,10.60504307,8.243912081,4.942362188,6.036167301,-3.13,11999939.74,23.53138353,10.45531285,5.188865962,14.5750869,0,0,9.589074368,48.05351894,44.03084872,41.31010074,22.79814255,19.26425154,46.49863808,0,57.2512962,47.52510539,11.37477255,11.76188495,29.90673699,19.26425154,58.58723223,56.50059482,80.56,11.93861058,9.589074368,0,24.26501325,13.8474744,11.76188495,25.98020854,46.40054066,0,36.51241805,8.029053784,5.505630062,-0.881398043,12.33843323,1.280621896,9.547892453,0,0.333333333,7,1,2,5.6636,0,2,0,0,49.55509221
