,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE,integral,log_integral,decarboxylation_enthalpy
195,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCC1(CC)c2cc(C(=O)C(C)=[N])ccc2-c2ccc(C(=O)/C(C)=N/OC(C)=O)cc21,[C],50.71033811995199,1415520.4440051233,6.150916146152197,-8.498367929999077
196,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1cc(C(=O)/C(CC)=N/OC(C)=O)ccc1-2,[C],44.51744192996418,1790074.165848988,6.252871024919389,-8.498367929999077
197,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,CC([O])=O,CCCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1cc(C(=O)/C(CCC)=N/OC(C)=O)ccc1-2,[C],45.87035348997271,1503364.4976685569,6.177064290057546,4.678087050031344
198,CCC(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCC(=O)c1ccc2c(c1)C(CC)(CC)c1cc(C(=O)C(C)=[N])ccc1-2,[C],44.18360660995096,1337087.0755891842,6.126159690894369,-8.498367929999077
199,c1ccccc1C(=N/OC(=O)C)\C(=O)c(cc2)cc(c23)C(CC)(CC)c4c3ccc(c4)C(=O)/C(=N/OC(=O)C)c5ccccc5,CC([O])=O,CCC1(CC)c2cc(C(=O)C(=[N])c3ccccc3)ccc2-c2ccc(C(=O)/C(=N/OC(C)=O)c3ccccc3)cc21,[C],48.856673580066314,1770047.3733207749,6.24798488991914,-8.498367929999077
200,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCC1(CCC)C2=C(C=C[C@H](C(=O)/C(CC)=N/OC(C)=O)C2)c2ccc(C(=O)C(=[N])CC)cc21,[C],47.66816964007073,310664.1932055693,5.492291199861415,-8.498367929999077
201,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCC1(CCC)C2=C(C=C[C@H](C(=O)C(=[N])CC)C2)c2ccc(C(=O)/C(CC)=N/OC(C)=O)cc21,[C],55.37524746001661,310664.1932055693,5.492291199861415,-8.498367929999077
202,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,CC([O])=O,CCCC(=[N])C(=O)c1ccc2c(c1)C(CCC)(CCC)c1cc(C(=O)/C(CCC)=N/OC(C)=O)ccc1-2,[C],47.96121680997292,1820551.582343745,6.2602029884662755,-8.498367929999077
203,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(CCCCC)=N/OC(=O)CC,CCC([O])=O,CCCCCC(=[N])C(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,[C]C,43.36784361015573,918005.5004083329,5.962845283368814,-8.498367929999077
204,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CC([O])=O,CCC1(CC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],45.03639270000941,446829.75686729816,5.650142087480594,-8.498367929999077
